Model Year,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel
2019,Nissan,NISSAN,370Z,NSX,56,24.0236,37.0772,28.5462,19.0909,26.2435,21.7596
2019,Nissan,NISSAN,370Z,NSX,57,21.1,36,25.9293,16.9285,25.5432,19.9574
2019,Nissan,NISSAN,370Z Roadster,NSX,58,22.8735,35.0767,27.1191,18.2452,24.9402,20.752
2019,Porsche,Porsche,911 GT2 RS,PRX,141,19,29,22.4898,15.4,20.9,17.4
2019,Porsche,Porsche,911 GT3,PRX,132,18.4,27.9,21.7295,14.9,20.2,16.8799
2019,Porsche,Porsche,911 GT3,PRX,131,16,28.4,19.9124,13.0553,20.5036,15.6065
2019,Porsche,Porsche,911 GT3 RS,PRX,136,18,26.5,21.0364,14.6,19.2,16.4
2019,Porsche,Porsche,911 GT3 Touring,PRX,133,17.7,29,21.4635,14.3609,20.9213,16.7203
2019,Porsche,Porsche,Boxster,PRX,202,28.5,42.1,33.3477,22.3233,29.4644,25.056
2019,Porsche,Porsche,Boxster,PRX,201,27.1,40.4,31.8129,21.3224,28.3824,24.01
2019,Porsche,Porsche,Boxster GTS,PRX,224,25.1,36,29.0593,19.8767,25.5628,22.0876
2019,Porsche,Porsche,Boxster GTS,PRX,223,24,35,27.9534,19.0736,24.89,21.315
2019,Porsche,Porsche,Boxster S,PRX,222,27,39.7,31.5404,21.2505,27.9345,23.8147
2019,Porsche,Porsche,Boxster S,PRX,221,24.6,36.9,28.9412,19.5124,26.1286,22.0217
2019,Porsche,Porsche,Cayman,PRX,212,28.5,42.1,33.3477,22.3233,29.4644,25.056
2019,Porsche,Porsche,Cayman,PRX,211,27.1,40.4,31.8129,21.3224,28.3824,24.01
2019,Porsche,Porsche,Cayman GTS,PRX,234,25.1,36,29.0593,19.8767,25.5628,22.0876
2019,Porsche,Porsche,Cayman GTS,PRX,233,24,35,27.9534,19.0736,24.89,21.315
2019,Porsche,Porsche,Cayman S,PRX,232,27,39.7,31.5404,21.2505,27.9345,23.8147
2019,Porsche,Porsche,Cayman S,PRX,231,24.6,36.9,28.9412,19.5124,26.1286,22.0217
2019,aston martin,Aston Martin Lagonda Ltd,DB11 V12,ASX,1,18.8306,30.8924,22.8444,15.2211,22.1756,17.7222
2019,aston martin,Aston Martin Lagonda Ltd,DB11 V8,ASX,2,22.7207,33.8295,26.6603,18.1323,24.1217,20.4132
2019,aston martin,Aston Martin Lagonda Ltd,DBS,ASX,4,17.7156,30.6398,21.8661,14.3728,22.0071,17.0315
2019,Ferrari,"Ferrari North America, Inc.",GTC4Lusso,FEX,152,14.0895,22.6228,16.97,11.5702,16.5594,13.3849
2019,Ferrari,"Ferrari North America, Inc.",GTC4Lusso T,FEX,162,18.027,29.474,21.8448,14.6104,21.2265,16.994
2019,Ferrari,"Ferrari North America, Inc.",Portofino,FEX,164,19.4902,31.3046,23.4774,15.72,22.4503,18.1715
2019,BMW,Mini,COOPER CONVERTIBLE,BMX,36,34.9132,50.5131,40.5483,26.7959,34.7005,29.8564
2019,BMW,Mini,COOPER CONVERTIBLE,BMX,37,36.4397,54.7923,42.9069,27.8341,37.2904,31.4195
2019,BMW,Mini,COOPER S CONVERTIBLE,BMX,58,32.6426,47.5738,38.0111,25.2331,32.8933,28.187
2019,BMW,Mini,COOPER S CONVERTIBLE,BMX,59,29.2163,46.451,35.072,22.8319,32.1967,26.2704
2019,BMW,Mini,JOHN COOPER WORKS CONVERTIBLE,BMX,82,32.6426,47.5738,38.0111,25.2331,32.8933,28.187
